,,,,,,,,,,,,
Stock check,,,,,,,,,,,,Date:
"* Check the number of items during opening and before dinner. 
* When closing, mark prep, fill, or ? (not sure and want to ask the staff on the next day to check) if needed. Leave it empty if no action needed
* WD=Sunday-Wednesday,WE=Thursday-Saturday",,,,,,,,,,,,
,,,upstairs before dinner,,,downstairs walkin,,,downstairs freezer,,Closing check,note
,tempra ,upstairs,WD-WE,,Unit,WD-WE,,Unit,,Unit,,
,shrimp,,2-3,,box,0-1,,box,,,prep・fill・?,[!] Move the same number of frozen ones to the walk-in when using defrosted one X4
,chicken,,4-6,,box,0-2,,box,,,prep・fill・?,
,lotus,,2-4,,box,0-2,,box,,,prep・fill・?,[!] Move the same number of frozen ones to the walk-in when using defrosted one  X2
,egg plant,,2-4,,box,0-2,,box,,,prep・fill・?,
,shiso,,2-3,,box,,,box,,,prep・fill・?,
,battar,,1-2,,bat,,,,,,prep・fill・?,
,vege kakiage,,4-4,,bag,,,,12,bag,prep・fill・?,
,,,,,,,,,,,,
,,,upstairs before dinner,,,downstairs walkin,,,downstairs freezer,,Closing check,note
,sushi sashimi,upstairs,WD-WE,,Unit,WD-WE,,Unit,,Unit,,
,nori,,half - full ,,box,,,,,,prep・fill・?,room temp
,sushi rice,,2-3,,box,2-4,,box,,,prep・fill・?,
,cut shiso,,3-6,,leaves,,,,,,prep・fill・?,
,cut cucumber,,1-2,,box,0-0,,box,,,prep・fill・?,
,white ginger,,0.5-1,,box,1-1,,box,,,prep・fill・?,
,fried tofu inari,,0.25-0.5,,box,1-1,,,,,prep・fill・?,[!] Move the same number of frozen ones to the walk-in when using defrosted one X1
,guacamole,,0.5-1,,bag,,,,,,prep・fill・?,
,ponzu jelly,,0.5-1,,box,,,,,,prep・fill・?,
,tsuma,,0.5-1,,box,0-0,,box,,,prep・fill・?,
,eel,,2-4,,pack,2-4,,pack,,,,[!] Move the same number of frozen ones to the walk-in when using defrosted one  X3
,tuna,,1-2,,plate,2-3,,saku,,,prep・fill・?,＊defrost needed
,salmon,,1-2,,plate,2-3,,saku,,,prep・fill・?,＊defrost needed
,scallp,,1-2,,plate,10-15,,pcs,,,prep・fill・?,＊defrost needed
,ikura,,0.5-1,,box,0-0,,box,,box,prep・fill・?,＊defrost needed
,wasabi,,0.5-1,,bag,1-1,,bag,,bag,prep・fill・?,＊defrost needed
,,,,,,,,,,,,
,,,upstairs before dinner,,,downstairs walkin,,,downstairs freezer,,Closing check,note
,cold vege,upstairs,Mo-Th,Fr-Su,Unit,Mo-Th,Fr-Su,Unit,,Unit,,
,oyser,,,,box,,,box,,,prep・fill・?,
,oyster mixed ponzu,,,,box,,,,,,prep・fill・?,
,salad leaf,,,,bat,,,box,,,prep・fill・?,
,cut cucumber,,,,box,,,box,,,prep・fill・?,
,radish,,,,box,,,box,,,prep・fill・?,
,cauliflower,,,,bat,,,box,,,prep・fill・?,
,cut lemon,,,,pcs,,,,,,prep・fill・?,
,slicelemon,,,,pcs,,,,,,prep・fill・?,
,fish tartaar,,,,bag,,,bag,,,prep・fill・?,
,orange zest,,,,box,,,,,,prep・fill・?,
,daikon cress,,,,pack,,,pack,,,prep・fill・?,
,pink ginger,,,,box,,,box,,,prep・fill・?,
,grated ginger,,,,bat,,,bat,,,prep・fill・?,
,grated W.radish,,,,bat,,,bat,,,prep・fill・?,
,wakame,,,,bat,,,,,,prep・fill・?,
,onion,,,,bat,,,box,,,prep・fill・?,[!] Move the same number of frozen ones to the walk-in when using defrosted one  X1
,udon crisp,,,,box,,,,,,prep・fill・?,room temp
,egg,,,,bat,,,bat,,,prep・fill・?,
,edamame,,,,bag ,,,,,bag,prep・fill・?,
