,,,,,,,,,,,,
Stock check,,,,,,,,,,,,Date:
"* Check the number of items during opening and before dinner. 
* When closing, mark prep, fill, or ? (not sure and want to ask the staff on the next day to check) if needed. Leave it empty if no action needed",,,,,,,,,,,,
,main udon,,upstairs before dinner,,,downstairs walkin,,,downstairs freezer,,Closing check,note
,,upstairs,Mo-Th,Fr-Su,Unit,Mo-Th,Fr-Su,Unit,,Unit,,
,txuleton,,,,pcs,,,pcs,2,pcs,prep・fill・?,＊defrost needed
,entrecote,,4,8,pcs,,,pcs,,pcs,prep・fill・?,＊defrost needed
,waterkers,,1,1,bag,,,bag,,,prep・fill・?,
,tsuna katsu,,4,8,pcs,,,,,,prep・fill・?,
,duck,,,,bat,,,bag,,bag,prep・fill・?,
,duck leek,,,,box,,,bag,,bag,prep・fill・?,
,shigure,,,,bat,,,bat,,,prep・fill・?,
,cha-siu,,,,bat,,,box,,,prep・fill・?,
,kitsune,,,,bat,,,bag,,bag,prep・fill・?,[!] Move the same number of frozen ones to the walk-in when using defrosted one  X1
,udon soup,,,,bat,,,bat,,,prep・fill・?,
,okinawa soup,,,,bat,,,container,,,prep・fill・?,
,vegan soup,,,,bat,,,bat,,,prep・fill・?,
,bk soup,,,,bat,,,bat,,,prep・fill・?,
,bk vegan soup,,,,bottle,,,bottle,,,prep・fill・?,
,,,,,,,,,,,,
,desserts,,upstairs before dinner,,,downstairs walkin,,,downstairs freezer,,Closing check,note
,,upstairs,Mo-Th,Fr-Su,Unit,Mo-Th,Fr-Su,Unit,,Unit,,
,brulee,,,,pcs,,,pcs,,,prep・fill・?,＊defrost needed
,mochi ice,,,,box ,,,,,box,prep・fill・?,
,sesame kinako,,,,box,,,,,,prep・fill・?,
,Whip cream ,,,,,,,,,,prep・fill・?,
,,,,,,,,,,,,
,source,,upstairs before dinner,,,downstairs walkin,,,downstairs freezer,,Closing check,note
,,upstairs,Mo-Th,Fr-Su,Unit,Mo-Th,Fr-Su,Unit,,Unit,,
,vegan ponzu,,,,bottle,check downstaris for details,,,,,prep・fill・?,
,nikiri,,,,bottle,,,,,,prep・fill・?,
,dontare,,,,bottle,,,,,,prep・fill・?,
,tune tamari,,,,bottle,,,,,,prep・fill・?,
,duck sauce,,,,bag,,,,,,prep・fill・?,
,onion dressing,,,,bottle,check downstaris for details,,,,,prep・fill・?,
,girlic oil,,,,can,,,,,,prep・fill・?,
,cauliflower saus,,,,bag,,,,,,prep・fill・?,
,okinawa soju,,,,disp,,,,,,prep・fill・?,
,,,,,,,,,,,prep・fill・?,
,S.chilli,,,,bottle,,,,,,buy・fill・?,
,QP mayo,,,,bottle,,,,,,buy・fill・?,
,yuzu kosho,,,,bottle,,,,,,buy・fill・?,
